"cd_mun","year_month","ndvi"
"1500107","2020-01",0.019020449788249
"1500800","2020-01",0.0197475363489499
"1501105","2020-01",0.0197248293225067
"1501204","2020-01",0.0207663864149151
"1501303","2020-01",0.0153207332490518
"1501402","2020-01",0.0142681122864117
"1501501","2020-01",0.021209793814433
"1501782","2020-01",0.0200599238996298
"1502103","2020-01",0.019165608736686
"1503093","2020-01",0.0187309399029168
"1503309","2020-01",0.019057294853039
"1503804","2020-01",0.0190430646539447
"1504000","2020-01",0.0157963483658937
"1504422","2020-01",0.0203291344667697
"1504604","2020-01",0.0205445362134689
"1504703","2020-01",0.0214456861900029
"1505064","2020-01",0.020423963759775
"1505205","2020-01",0.0196138200605929
"1506351","2020-01",0.0215241008074382
"1507953","2020-01",0.0210255561303673
"1508100","2020-01",0.0189595284607612
"1500107","2020-02",0.0170722462581852
"1500800","2020-02",0.019238369611609
"1501105","2020-02",0.0210232413613588
"1501204","2020-02",0.020100271950272
"1501303","2020-02",0.0153232778937445
"1501402","2020-02",0.0138802388289676
"1501501","2020-02",0.01941791613723
"1501782","2020-02",0.0211729886118806
"1502103","2020-02",0.0182408609822809
"1503093","2020-02",0.0202044737715803
"1503309","2020-02",0.0185948547244282
"1503804","2020-02",0.0194341398485566
"1504000","2020-02",0.0135053050627434
"1504422","2020-02",0.0191755258126195
"1504604","2020-02",0.0198713400717313
"1504703","2020-02",0.0210144187536028
"1505064","2020-02",0.0199847421173347
"1505205","2020-02",0.0205830414168724
"1506351","2020-02",0.0197665409482759
"1507953","2020-02",0.0210489019211325
"1508100","2020-02",0.0194276183376817
"1500107","2020-03",0.0186512135785007
"1500800","2020-03",0.018831586113002
"1501105","2020-03",0.0206432006233535
"1501204","2020-03",0.0209765933034317
"1501303","2020-03",0.0159658439051296
"1501402","2020-03",0.0128831413096997
"1501501","2020-03",0.0191807495741056
"1501782","2020-03",0.0210741304089497
"1502103","2020-03",0.018653014600776
"1503093","2020-03",0.0211073526374101
"1503309","2020-03",0.0176646401118099
"1503804","2020-03",0.0196559637293653
"1504000","2020-03",0.0172087515627791
"1504422","2020-03",0.0191273037542662
"1504604","2020-03",0.0190937817516765
"1504703","2020-03",0.0210925358790364
"1505064","2020-03",0.0203195077289722
"1505205","2020-03",0.020217254689102
"1506351","2020-03",0.0199077439339184
"1507953","2020-03",0.0213131869717584
"1508100","2020-03",0.0194950297241984
"1500107","2020-04",0.0174909480342702
"1500800","2020-04",0.0188943569553806
"1501105","2020-04",0.0209012562303714
"1501204","2020-04",0.0199228466549478
"1501303","2020-04",0.0153771774639393
"1501402","2020-04",0.0122861432861433
"1501501","2020-04",0.0202606906338694
"1501782","2020-04",0.0202885019258058
"1502103","2020-04",0.018648692948245
"1503093","2020-04",0.0203636923460766
"1503309","2020-04",0.0193991120127711
"1503804","2020-04",0.0190774099478375
"1504000","2020-04",0.0163873474331501
"1504422","2020-04",0.0197208430913349
"1504604","2020-04",0.0204122593320236
"1504703","2020-04",0.021350517079563
"1505064","2020-04",0.0199616652196358
"1505205","2020-04",0.0203903517570255
"1506351","2020-04",0.0205650338382211
"1507953","2020-04",0.0210204355373205
"1508100","2020-04",0.0171225654687677
"1500107","2020-05",0.0189975810541922
"1500800","2020-05",0.0204622891167714
"1501105","2020-05",0.021398352737002
"1501204","2020-05",0.0212948996796493
"1501303","2020-05",0.0167221993390488
"1501402","2020-05",0.0130821420104315
"1501501","2020-05",0.0224875083500334
"1501782","2020-05",0.0213264679183985
"1502103","2020-05",0.0196159406619791
"1503093","2020-05",0.0213091843305608
"1503309","2020-05",0.0199538117451594
"1503804","2020-05",0.0202585414364641
"1504000","2020-05",0.0174300961823652
"1504422","2020-05",0.0216308679706601
"1504604","2020-05",0.0204567400684422
"1504703","2020-05",0.0224701119171129
"1505064","2020-05",0.0215050502896833
"1505205","2020-05",0.0209431371904088
"1506351","2020-05",0.0225224977457169
"1507953","2020-05",0.0218579392920303
"1508100","2020-05",0.0195914870428675
"1500107","2020-06",0.0182048109831985
"1500800","2020-06",0.0196239800995025
"1501105","2020-06",0.0228404899340309
"1501204","2020-06",0.0225011237822921
"1501303","2020-06",0.01599277570183
"1501402","2020-06",0.0128346135524592
"1501501","2020-06",0.0214778972119583
"1501782","2020-06",0.0221172197920629
"1502103","2020-06",0.020303785431271
"1503093","2020-06",0.0222496604014809
"1503309","2020-06",0.0205316567304675
"1503804","2020-06",0.0208401113772828
"1504000","2020-06",0.017356645769344
"1504422","2020-06",0.0207262769230769
"1504604","2020-06",0.021725617816092
"1504703","2020-06",0.0234342618728752
"1505064","2020-06",0.0219765907028744
"1505205","2020-06",0.0220896876573489
"1506351","2020-06",0.0217462221210742
"1507953","2020-06",0.0234564559530015
"1508100","2020-06",0.0202247289545605
"1500107","2020-07",0.0188292159303049
"1500800","2020-07",0.0201700725115359
"1501105","2020-07",0.0228663560973528
"1501204","2020-07",0.0222418234442836
"1501303","2020-07",0.0164221360895779
"1501402","2020-07",0.0128907837917776
"1501501","2020-07",0.022127870493992
"1501782","2020-07",0.0211653114296588
"1502103","2020-07",0.020309272668104
"1503093","2020-07",0.0214032886669392
"1503309","2020-07",0.0205880633526737
"1503804","2020-07",0.0196706317036667
"1504000","2020-07",0.0174972942265612
"1504422","2020-07",0.0212327261687917
"1504604","2020-07",0.0214876850122144
"1504703","2020-07",0.0231012527558568
"1505064","2020-07",0.0210400074596913
"1505205","2020-07",0.021980399162052
"1506351","2020-07",0.0224480955600631
"1507953","2020-07",0.022585465509468
"1508100","2020-07",0.0199345409100491
"1500107","2020-08",0.0191733182809094
"1500800","2020-08",0.0201040897097625
"1501105","2020-08",0.0226238829143223
"1501204","2020-08",0.0216453924173309
"1501303","2020-08",0.0168078444518941
"1501402","2020-08",0.0133054087604185
"1501501","2020-08",0.021888877755511
"1501782","2020-08",0.0202361883207956
"1502103","2020-08",0.020120600542979
"1503093","2020-08",0.0206177805575411
"1503309","2020-08",0.020607408685829
"1503804","2020-08",0.0189520813013246
"1504000","2020-08",0.0181764154528182
"1504422","2020-08",0.0210483596597813
"1504604","2020-08",0.0212588988568948
"1504703","2020-08",0.0224263502601214
"1505064","2020-08",0.0203285387141728
"1505205","2020-08",0.0216451822704953
"1506351","2020-08",0.0223784424379233
"1507953","2020-08",0.0217380001127015
"1508100","2020-08",0.0194800298155165
"1500107","2020-09",0.0204526415841584
"1500800","2020-09",0.0197471046393498
"1501105","2020-09",0.0220243029672647
"1501204","2020-09",0.0203591327515243
"1501303","2020-09",0.0177084386078794
"1501402","2020-09",0.0137658952105432
"1501501","2020-09",0.021508599261001
"1501782","2020-09",0.0189830587931007
"1502103","2020-09",0.0191944208624023
"1503093","2020-09",0.0200389114606742
"1503309","2020-09",0.019650916522961
"1503804","2020-09",0.0188958682899136
"1504000","2020-09",0.0175068596521146
"1504422","2020-09",0.0208318885448916
"1504604","2020-09",0.0202264893301719
"1504703","2020-09",0.0210473963492288
"1505064","2020-09",0.0197880293562166
"1505205","2020-09",0.0215861649225617
"1506351","2020-09",0.0219009163802978
"1507953","2020-09",0.0207157648447849
"1508100","2020-09",0.0190903549815959
"1500107","2020-10",0.0190629277036447
"1500800","2020-10",0.0198061012403621
"1501105","2020-10",0.0209842324632712
"1501204","2020-10",0.0209692902403747
"1501303","2020-10",0.0164911688942892
"1501402","2020-10",0.0134734339305038
"1501501","2020-10",0.0213544418370768
"1501782","2020-10",0.0191263459625339
"1502103","2020-10",0.0195940988801576
"1503093","2020-10",0.0191320574886536
"1503309","2020-10",0.0198361185898451
"1503804","2020-10",0.018091598603965
"1504000","2020-10",0.0174335729094679
"1504422","2020-10",0.0207615289765721
"1504604","2020-10",0.0209193936225823
"1504703","2020-10",0.0217672260694158
"1505064","2020-10",0.0184728752847473
"1505205","2020-10",0.0203893439961723
"1506351","2020-10",0.0219798780487805
"1507953","2020-10",0.0213186733090847
"1508100","2020-10",0.0186565241245764
"1500107","2020-11",0.0182485713056201
"1500800","2020-11",0.0199686546933243
"1501105","2020-11",0.0205237048434009
"1501204","2020-11",0.0217912345587691
"1501303","2020-11",0.0166849231068717
"1501402","2020-11",0.0136897236826018
"1501501","2020-11",0.0217211671270718
"1501782","2020-11",0.0210318093533078
"1502103","2020-11",0.0199549358464293
"1503093","2020-11",0.0206181763476997
"1503309","2020-11",0.0192678027213804
"1503804","2020-11",0.0186610372340426
"1504000","2020-11",0.0172902720853291
"1504422","2020-11",0.0208306184935701
"1504604","2020-11",0.0206960709632154
"1504703","2020-11",0.021703928425858
"1505064","2020-11",0.0208113793634497
"1505205","2020-11",0.0200594338827298
"1506351","2020-11",0.0221750517360313
"1507953","2020-11",0.021073107106924
"1508100","2020-11",0.0204672838692673
"1500107","2020-12",0.0185692409056423
"1500800","2020-12",0.0196184641638225
"1501105","2020-12",0.0208989307941047
"1501204","2020-12",0.0218237283583693
"1501303","2020-12",0.0162098068857895
"1501402","2020-12",0.0133061872406951
"1501501","2020-12",0.0214737643872715
"1501782","2020-12",0.0212112773673151
"1502103","2020-12",0.0200197246251137
"1503093","2020-12",0.0213263707357172
"1503309","2020-12",0.0199427078354523
"1503804","2020-12",0.0211764416394305
"1504000","2020-12",0.0172565572354212
"1504422","2020-12",0.0204630188679245
"1504604","2020-12",0.0212930559757943
"1504703","2020-12",0.0222173061593813
"1505064","2020-12",0.0204990018824147
"1505205","2020-12",0.0207154836828837
"1506351","2020-12",0.0218322861728961
"1507953","2020-12",0.0217215974896159
"1508100","2020-12",0.0201851564580559
